,pruning_rate,accuracy
0,0,0.07000000029802322
1,1,0.10000000149011612
2,2,0.11999999731779099
3,3,0.09000000357627869
4,4,0.09000000357627869
5,5,0.09000000357627869
6,6,0.11999999731779099
7,7,0.11999999731779099
8,8,0.11999999731779099
9,9,0.12999999523162842
10,10,0.11999999731779099
11,11,0.11999999731779099
12,12,0.11999999731779099
13,13,0.10999999940395355
14,14,0.10999999940395355
15,15,0.09000000357627869
16,16,0.11999999731779099
17,17,0.11999999731779099
18,18,0.10000000149011612
19,19,0.10000000149011612
20,20,0.14000000059604645
21,21,0.15000000596046448
22,22,0.15000000596046448
23,23,0.15000000596046448
24,24,0.12999999523162842
25,25,0.11999999731779099
26,26,0.15000000596046448
27,27,0.12999999523162842
28,28,0.10999999940395355
29,29,0.15000000596046448
30,30,0.1599999964237213
31,31,0.15000000596046448
32,32,0.1599999964237213
33,33,0.20000000298023224
34,34,0.20000000298023224
35,35,0.1899999976158142
36,36,0.20000000298023224
37,37,0.1599999964237213
38,38,0.18000000715255737
39,39,0.1599999964237213
40,40,0.1599999964237213
41,41,0.14000000059604645
42,42,0.14000000059604645
43,43,0.14000000059604645
44,44,0.15000000596046448
45,45,0.17000000178813934
46,46,0.17000000178813934
47,47,0.18000000715255737
48,48,0.17000000178813934
49,49,0.20000000298023224
50,50,0.1899999976158142
51,51,0.18000000715255737
52,52,0.1599999964237213
53,53,0.15000000596046448
54,54,0.14000000059604645
55,55,0.17000000178813934
56,56,0.1599999964237213
57,57,0.17000000178813934
58,58,0.15000000596046448
59,59,0.15000000596046448
60,60,0.1599999964237213
61,61,0.1599999964237213
62,62,0.15000000596046448
63,63,0.15000000596046448
64,64,0.15000000596046448
65,65,0.12999999523162842
66,66,0.12999999523162842
67,67,0.14000000059604645
68,68,0.14000000059604645
69,69,0.15000000596046448
70,70,0.1599999964237213
71,71,0.17000000178813934
72,72,0.17000000178813934
73,73,0.18000000715255737
74,74,0.18000000715255737
75,75,0.17000000178813934
76,76,0.14000000059604645
77,77,0.17000000178813934
78,78,0.1599999964237213
79,79,0.14000000059604645
80,80,0.12999999523162842
81,81,0.12999999523162842
82,82,0.15000000596046448
83,83,0.11999999731779099
84,84,0.14000000059604645
85,85,0.14000000059604645
86,86,0.12999999523162842
87,87,0.14000000059604645
88,88,0.15000000596046448
89,89,0.11999999731779099
90,90,0.11999999731779099
91,91,0.14000000059604645
92,92,0.11999999731779099
93,93,0.12999999523162842
94,94,0.10999999940395355
95,95,0.10999999940395355
96,96,0.14000000059604645
97,97,0.12999999523162842
98,98,0.10000000149011612
99,99,0.14000000059604645
